자치구,행정동,행정동코드,A_인프라,B_외출커뮤적은,C_배달의존,D_이동저하,E_독거비율,Dependency
종로구,종로1·2·3·4가동,11110615,0.9090858680185946,0.600129360020497,0.8715596330275229,0.9745201054848007,0.798142236058179,100.0
강남구,역삼1동,11680640,0.9999999999999999,0.5690022314018061,0.981651376146789,0.6533025328617863,0.4262725865393306,89.8
구로구,구로2동,11530530,0.7303555357720793,1.0,0.8348623853211009,0.6439192918617251,0.3433574046931284,88.4
금천구,가산동,11545510,0.9040485550478342,0.5277271302836751,0.889908256880734,0.6887585093116912,0.3574013312174765,81.1
마포구,서교동,11440660,0.9674348990259508,0.46684464525802283,0.8990825688073395,0.6078009689882862,0.27623124180169134,78.2
동대문구,제기동,11230545,0.8496172238541472,0.6448440730600555,0.6788990825688074,0.717582844409919,0.3062775169391059,77.7
영등포구,여의동,11560540,0.8916726061529628,0.6413680626865395,0.9174311926605504,0.4602653474252305,0.07995476588671499,74.0
영등포구,영등포동,11560535,0.8139291099567357,0.40444126831858607,0.9541284403669726,0.6306478320420303,0.4244565762963391,74.0
중랑구,면목본동,11260565,0.7022386281967791,0.5187717818227033,0.889908256880734,0.6624445489298199,0.39739306546193626,71.9
관악구,대학동,11620735,0.6582528455220665,0.44757606441034736,0.853211009174312,0.7231351064047264,0.5637379177341025,71.5
동대문구,용신동,11230536,0.7779777855021096,0.3806996475725207,0.944954128440367,0.6847803422123189,0.3717838452215146,71.3
강서구,화곡1동,11500540,0.7555416099889266,0.48909159504858607,1.0,0.5516200911748472,0.3079449808282524,71.2
구로구,구로4동,11530550,0.6985906597879684,0.6026563079028945,0.7614678899082571,0.671116380808308,0.28310157449560297,69.6
강동구,길동,11740685,0.7885431722839159,0.550778565929089,0.9082568807339452,0.4725514647259643,0.2358882067517772,69.5
금천구,독산3동,11545630,0.6680365521438071,0.4890321353006584,0.889908256880734,0.640427663184578,0.3994962956866983,68.8
강남구,논현1동,11680521,0.8257653241275972,0.2874490893143269,0.8990825688073395,0.6576241388474355,0.3637249299914668,68.1
강동구,천호2동,11740610,0.7483403840301824,0.40713752563583877,0.981651376146789,0.5511499069853016,0.34290877099824,68.1
동대문구,장안1동,11230650,0.7482004111282493,0.4277536371006456,0.9908256880733947,0.6327697937322403,0.20582266801267549,67.8
중랑구,망우본동,11260655,0.721935223714954,0.4727271718637345,0.9357798165137615,0.5180203201341047,0.34471799766788264,67.7
중랑구,중화2동,11260610,0.6542902672773582,0.4084920552514139,0.8440366972477066,0.6316413516773309,0.5503321456396856,67.3
